1550133587,7.42,26.6
1550133601,7.94,31.3
1550133602,7.71,33.5
1550133604,7.44,34.6
1550134646,7.44,34.6
1550134648,7.98,33.5
1550134649,7.94,31.3
1550134656,7.97,30.1
1550134658,6.95,26.6
1550134686,7.42,26.6
1550134688,7.72,30.1
1550134691,7.71,33.5
1550134693,7.44,34.6
1550134698,7.98,33.5
1550134699,7.94,31.3
1550134700,7.97,30.1
1550134705,7.42,26.6
1550134717,7.97,30.1
1550134718,7.94,31.3
1550134731,9.6,34.6
1550134741,6.63,33.5
1550134742,6.38,31.3
1550134751,6.48,26.6
1550134764,6.48,26.6
1550134767,5.93,30.1
1550134781,6.38,31.3
1550134782,6.9,33.5
1550134784,6.9,34.6
1550134922,7.98,34.6
1550134923,8.25,33.5
1550134925,8.2,31.3
1550134926,7.97,30.1
1550135490,7.19,26.6
1550135506,7.42,26.6
1550135508,7.97,30.1
1550135513,7.97,30.1
1550135517,7.97,30.1
1550135520,7.44,33.5
1550135521,7.44,34.6
1550135814,7.44,34.6
1550135815,7.98,33.5
1550135817,7.94,31.3
1550135876,7.97,30.1
1550135904,6.95,24
1550135911,9.2,24
1550135913,8.83,26.6
1550135999,9.2,24
1550136006,6.95,24
1550136008,7.19,26.6
1550136012,7.46,30.1
1550136013,7.94,31.3
1550136015,7.71,33.5
1550136016,7.44,34.6
1550136092,9.6,34.6
1550136113,7.98,33.5
1550136115,7.94,31.3
1550136116,7.97,30.1
1550136137,7.46,30.1
1550136139,7.94,31.3
1550136140,7.71,33.5
1550136141,7.44,34.6
1550136164,7.44,34.6
1550136166,7.98,33.5
1550136167,7.94,31.3
1550136169,7.46,30.1
1550136230,7.46,30.1
1550136232,7.94,31.3
1550136234,7.98,33.5
1550136239,7.98,33.5
1550136241,7.94,31.3
1550136243,7.97,30.1
1550136255,7.46,30.1
1550136366,7.98,33.5
1550136368,7.44,34.6
